genus name,family number,genus number
petrocallis r. br.,68,61
petrocoptis a. braun,57,27
petrorhagia ser. ex dc.,,
petroselinum hill,129,60
petrosimonia bunge,48,32
petteria c. presi,81,22
peucedanum l.,129,90
phacelia juss.,147,2
phacelurus griseb.,193,152
phagnalon cass.,169,29
phalacrachena iljin,169,137
phalacrocarpum willk.,169,72
pharbitis choisy,146,6
phaseolus l.,81,45
phellodendron rupr.,88,5
philadelphus l.,75,1
phillyrea l.,139,8
phippsia r. br.,193,22
pholiurus trin.,193,96
phormium j. r.  g. forster,183,13
phragmites adanson,193,109
phyllodoce salisb.,132,10
physanthyllis boiss.,81,63
physocaulis dc.,,
physoplexis endl.,,
physospermum cusson,129,46
phyteuma l.,168,9
phytolacca l.,51,1
picea a. dietr.,26,4
picnomon adanson,169,119
picridium desf.,169,163
pieris l.,169,160
pilea lindley,40,2
pilosella hill,169,181
pilularia l.,23,2
pimpinella l.,129,25
pinus l.,26,7
piptatherum beauv.,193,104
pistacia l.,94,3
pisum l.,81,52
pittosporum gaertner,78,1
plantago l.,163,1
platanthera l. c. m. richard,203,13
platanus l.,79,1
pleuropogon r. br.,193,43
pleurospermum hoffm.,129,49
plumbago l.,136,1
polemonium l.,145,1
polycnemum l.,48,1
polygonatum miller,183,46
polygonum l.,47,2
polypodium l.,22,1
polypogon desf.,193,89
polystichum roth,19,1
pontederia l.,187,1
populus l.,31,2
portenschlagiella tutin,129,36
portulaca l.,55,1
potamogeton l.,177,1
potentina l.,80,19
prangos lindley,129,52
prenanthes l.,169,171
primula l.,135,1
proboscidea schmidel,158,1
prolongoa boiss.,169,75
prunella l.,151,21
prunus l.,80,35
psathyrostachys nevski,193,56
pseudarrhenatherum rouy,193,65
pseudostellaria pax,57,7
psilurus trin.,193,33
ptelea l.,88,6
pterocarya kunth,33,3
pterocephalus adanson,167,7
ptilostemon cass.,169,121
ptilotrichum c. a. meyer,68,54
ptychotis koch,129,67
puccinellia pari.,193,21
pulicaria gaertner,169,33
pulsatilla miller,61,16
punica l.,122,1
putoria pers.,144,1
pycnocomon hoffmanns.  link,167,10
pyracantha m. j. roemer,80,32
pyrola l.,131,1
quercus l.,36,3
radiola hill,86,2
ramischia opiz ex garcke,131,2
ramonda l. c. m. richard,159,2
ranunculus l.,61,19
rapistrum crantz,68,101
reichardia roth,169,163
reseda l.,69,1
reutera boiss.,81,20
revtera boiss.,129,25
reynoutria houtt.,47,4
rhagadiolus zinn,169,155
rhamnus l.,103,3
rhazya decne,142,3
rheum l.,47,7
rhinanthus l.,154,35
rhizobotrya tausch,68,65
rhododendron l.,132,5
rhodothamnus reichenb.,132,7
rhynchoeorys griseb.,154,36
rhynchosinapis hayek,68,92
rhynchospora vahl,199,9
ribes l.,77,1
ricinus l.,87,6
ricotia l.,68,45
ridolfia moris,129,61
rindera pallas,148,37
robinia l.,81,30
rochelia reichenb.,148,28
roemeria medicus,66,4
romulea maratti,188,8
rorippa scop.,68,38
rosmarinus l.,151,37
rotala l.,119,3
rothmaleria font quer,169,148
rouya coincy,129,100
rubia l.,144,9
rubus l.,80,9
rudbeckia l.,169,44
rumex l.,47,8
rupicapnos pomel,66,14
ruppia l.,178,1
ruscus l.,183,49
ruta l.,88,1
sabina miller,28,5
saccharum l.,193,145
sagina l.,57,12
sagittaria l.,170,1
salicornia l.,48,21
salpichroa miers,152,8
saisola l.,48,25
salvinia adanson,24,1
sambucus l.,164,1
samolus l.,125,13
sanguisorba l.,80,13
sanicula l.,129,4
santolina l.,169,56
saponaria l.,57,33
sarcopoterium spach,80,14
sasa makino  shibata,193,1
saxifraga l.,73,1
scabiosa l.,167,8
scandix l.,129,14
scheuchzeria l.,173,1
schinus l.,94,4
schismus beauv.,193,112
schivereckia andrz.,68,58
schizachne hackel,193,41
schkuhria roth,169,53
schoenoplectus reichenb.,,
scilla l.,183,27
scleranthus l.,57,13
sclerochloa beauv.,193,23
sclerochorton boiss.,129,30
scleropoa griseb.,193,12
scolochloa link,193,101
scolymus l.,169,145
scorpiurus l.,81,68
scorzonera l.,169,161
scrophularia l.,154,8
secale l.,203,55
securinega commerson,87,2
sedum l.,72,10
selaginella beauv.,2,1
sempervivum l.,72,6
senecillis gaertner,169,97
senecio l.,169,96
sequoiadendron buchholz,27,2
sesamum l.,157,1
seseli l.,129,32
sesuvium l.,52,2
setaria beauv.,193,140
sherardia l.,144,2
sibbaldia l.,80,20
sibiraea maxim.,80,4
sibthorpia l.,154,24
sicyos l.,177,8
sida l.,106,3
sideritis l.,151,6
sigesbeckia l.,169,42
silaum miller,129,43
silene l.,57,28
silphium l.,169,47
silybum adanson,169,127
simethis kunth,183,10
sinapis l.,68,89
siphonostegia bentham,154,37
sisymbrella spach,68,37
sisymbrium l.,68,1
sisyrinchium l.,188,1
sium l.,129,27
smilacina desf.,183,44
smyrnium l.,129,20
sobolewskia bieb.,68,12
soldanella l.,135,5
solenanthus ledeb.,148,35
sophora l.,81,5
sorbaria ser.,,
sorghum moench,193,146
sparganium l.,197,1
spartina schreber,193,127
spergula l.,57,22
spergularia pers.,,
spinacia l.,48,5
spiraea l.,80,3
spiranthes l. c. m. richard,203,8
spirodela schleiden,196,3
sporobolus r. br.,193,122
stachys l.,151,16
staphylea l.,101,1
stauracanthus link,81,25
stefanoffia h. wolff,129,72
stenophragma celak.,68,8
stenotaphrum trin.,193,139
steptorhamphus bunge,169,168
sterigmostemum bieb.,68,25
steveniella schlechter,203,20
stipa l.,193,105
stipagrostis nees,193,115
strangweia bertol.,183,32
stratiotes l.,172,2
streptopus michx,183,45
subularia l.,68,83
succisa haller,167,4
succisella g. beck,167,5
succowia medicus,68,97
swertia l.,140,8
swida opiz,127,1
symphoricarpos duh.,164,3
symphytum l.,148,18
syrenia andrz.,68,19
syringa l.,139,5
taeniatherum nevski,193,59
tagetes l.,169,55
tamarix l.,113,2
tamus l.,186,3
tanaeetum l.,169,69
taraxacum weber,169,173
taxodium l. c. m. richard,27,3
taxus l.,29,1
teesdalia r. br.,68,73
